Country Name,Country,Year,AG.LND.FRST.K2,AG.SRF.TOTL.K2,BX.KLT.DINV.CD.WD,BX.TRF.PWKR.CD.DT,DT.DOD.DECT.CD,DT.ODA.ALLD.CD,DT.TDS.DECT.EX.ZS,EG.USE.ELEC.KH.PC,EG.USE.PCAP.KG.OE,EN.POP.DNST,ER.H2O.FWTL.ZS,ER.PTD.TOTL.ZS,FS.AST.DOMS.GD.ZS,GC.REV.XGRT.GD.ZS,GC.TAX.TOTL.GD.ZS,IT.CEL.SETS.P2,MS.MIL.XPND.GD.ZS,NE.EXP.GNFS.ZS,NE.GDI.TOTL.ZS,NE.IMP.GNFS.ZS,NV.AGR.TOTL.ZS,NV.IND.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GNP.ATLS.CD,NY.GNP.MKTP.PP.CD,NY.GNP.PCAP.CD,NY.GNP.PCAP.PP.CD,SE.ENR.PRSC.FM.ZS,SE.PRM.CMPT.ZS,SE.PRM.ENRR,SE.SEC.ENRR,SH.DYN.AIDS.ZS,SH.DYN.MORT,SH.IMM.MEAS,SH.STA.BRTC.ZS,SH.STA.MALN.ZS,SI.DST.FRST.20,SI.POV.DDAY,SI.POV.NAHC,SM.POP.NETM,SP.ADO.TFRT,SP.DYN.CONU.ZS,SP.DYN.LE00.IN,SP.DYN.TFRT.IN,SP.POP.GROW,SP.POP.TOTL,SP.URB.GROW,TG.VAL.TOTL.GD.ZS,TT.PRI.MRCH.XD.WD,TX.VAL.TECH.MF.ZS,Adaptation,Disaster_Risk_Management,Loss_and_Damage,Mitigation
Afghanistan,AFG,2015,12084.4,652860.0,169146608.0,348624717.302647,2596917266.2,4274229980.46875,3.29960835203606,,,51.8709105683578,43.0159066808059,0.4,,10.1311181683697,7.58538233129798,58.39109599,0.994575822723645,,,,20.6343227166798,22.1240424906926,2.44756300147404,19134221644.7325,1.45131466066431,20114103580.5321,77739868999.5339,590.0,2300.0,0.6423299908638,,106.182418823242,53.2851409912109,0.1,72.4,62.0,50.5,,,,,-286314.0,81.043,22.5,62.27,5.652,3.11995924146907,33831764.0,3.9946261512183,43.3464195931026,100.0,,2.0,0.0,0.0,3.0
Afghanistan,AFG,2016,12084.4,652860.0,93591315.3,627710802.377386,2596050086.4,4069409912.10938,4.333403208221,,,53.2030296061205,43.0159066808059,0.104707040342723,,12.678009904576,9.50265278288094,62.37109623,0.956772140958855,,,,25.7403140364582,10.4668076938201,-2.19752646733461,18116572395.0772,2.26031420279821,19449602244.5449,77790300893.8725,560.0,2240.0,0.645669996738434,82.9104614257812,106.150283813477,53.5063400268555,0.1,70.0,64.0,,,,,54.5,-143049.0,78.13,,62.646,5.542,2.53571991833963,34700612.0,3.40681271655218,39.3562305524053,106.3025336899,,1.0,0.0,0.0,0.0
Afghanistan,AFG,2017,12084.4,652860.0,51533896.765,822731630.245558,2751986638.9,3811739990.23438,4.35357201508207,,,54.7183278904681,43.0159066808059,0.1,,13.0392622227544,9.89845089688421,67.13641492,0.945226799939516,,,,26.4201990834448,10.0518739969063,2.40365618765746,18753456497.8159,2.6470032027451,19032212583.775,84288052074.0782,530.0,2360.0,0.641690015792847,87.2533264160156,106.129997253418,55.4021492004395,0.1,67.6,64.0,53.4,,,,,-71491.0,75.3,,62.406,5.433,2.80833730805469,35688935.0,3.72340281512711,41.5283443929765,108.4152517508,,1.0,1.0,0.0,1.0
Angola,AGO,2015,693826.9,1246700.0,10028215162.6394,11114711.6,48771532654.3,380059997.558594,24.7853019209701,306.167406982606,517.525209417242,22.5858650838213,0.476824324324324,5.0,27.0509235108551,18.7766449722372,11.0020190179303,49.36244924,3.10542629308278,29.7545979506807,34.2024908297612,33.1339181383385,9.12253437222206,41.9330921928439,-3.51838534598478,90496420506.5957,0.943571561325001,110414347932.605,190283189913.791,3920.0,6760.0,,,119.14225769043,,1.8,88.2,51.0,,19.0,,,,74171.0,150.244,,61.042,5.774,3.60507162233632,28157798.0,4.73841503151621,59.5316363878431,100.0,12.6044858942473,0.0,0.0,0.0,1.0
Angola,AGO,2016,688276.2,1246700.0,-179517618.92,3988048.38,57434097528.2,206509994.506836,38.0756437635118,331.664900231538,462.934994006148,23.4082537900056,0.476824324324324,5.00471334206571,27.5431425134929,15.7207693755968,9.73251248352788,44.59350803,2.73333494465123,28.1244854472006,27.2147092687935,25.2456726203982,9.83116886032956,42.6435678702129,21.7742355863884,52761617225.9253,-2.58004964404932,74246131635.2853,189305603973.104,2540.0,6490.0,,,107.026964874435,53.5814514160156,1.8,84.1,45.0,49.6,,,,,91614.0,148.905,13.7,61.619,5.686,3.57644143982026,29183070.0,4.67837622857163,77.004842035123,87.8934159121,12.9883050935056,2.0,2.0,0.0,0.0
Angola,AGO,2017,682725.7,1246700.0,-7397295409.18991,1418195.84,58745881698.6,223139999.389648,25.4292237629753,315.199297075801,456.692217487614,24.2518962059838,0.476824324324324,5.0,29.7962481046854,16.3605914340827,9.223777502108,44.10644535,2.50798280550579,29.0041020030504,24.1303058646463,23.2527202247958,10.0169959653141,42.1679537698985,22.6145140271114,73690154990.7312,-0.147212941085755,63162374518.4857,198430111560.447,2090.0,6560.0,,,122.235166180926,,1.7,80.5,42.0,,,,,,77731.0,147.407,,62.122,5.6,3.54061221486272,30234839.0,4.61048578809888,66.5977700904182,109.7727224356,19.3839506955365,3.0,0.0,0.0,2.0
Angola,AGO,2018,677175.1,1246700.0,-6456076413.12033,1579247.15,61791490176.7,162639999.389648,28.5353974870477,370.736573340292,405.179753107747,25.1039985561883,0.476824324324324,5.00471082728009,25.2864287003902,21.9878346209318,9.64477850341357,42.49094914,1.95578680987962,40.8362898299819,17.8694205677582,25.541723496358,8.60774180183334,47.9315418514046,28.1670932554891,79450688259.3664,-1.31636168896895,61533771356.4081,212200392143.678,1970.0,6780.0,,,88.5748689656161,,1.7,77.3,50.0,,,3.8,39.3,32.3,61632.0,146.305,,62.622,5.519,3.45323300897802,31297155.0,4.48889232229204,71.1837760490799,136.9240600691,23.3127754550372,2.0,0.0,0.0,2.0
Albania,ALB,2015,7891.875,28750.0,989578334.828616,1290863508.09402,8446920542.7,335160003.662109,33.5289041026424,2098.09897098035,762.287986301806,105.135145985401,3.42007434944238,2.2,68.1382711252925,24.738150200759,18.5157898553099,117.9871153,1.16230386432234,27.2673911512668,25.8190485021686,44.5336151883802,19.7802144171366,21.7636809971645,0.563991350160876,11386853113.0189,2.21872637517804,12635760849.2255,33993032983.5689,4390.0,11800.0,0.982420027256012,98.7887878417969,105.688652038574,102.440727233887,0.1,9.6,97.0,,,7.7,1.1,,-20500.0,20.656,,78.358,1.631,-0.291205786840436,2880703.0,1.48476433256912,54.6156162573982,100.0,1.63419036731371,0.0,0.0,0.0,3.0
Albania,ALB,2016,7891.8,28750.0,1044389554.85795,1306009166.92504,8516067178.0,171039993.286133,15.23524249807,1994.36667905612,786.071045181397,104.967189781022,4.05947955390335,13.1477494617734,66.3900717847667,24.2785737521554,17.590229809729,116.9622462,1.10358100880452,28.9778991754721,25.2238259425092,45.8319636476989,19.8499944651163,21.1419653523072,-0.632653419095547,11861199830.8396,3.31498068384137,12420735753.6914,35304217628.4854,4320.0,12280.0,0.993550002574921,99.5973587036133,105.324783325195,99.1707611083984,0.1,9.4,96.0,,,7.3,1.1,23.7,-9347.0,18.518,,78.643,1.555,-0.159880412127734,2876101.0,1.54401448032371,55.4075480872732,101.0767054695,0.784313365143227,3.0,3.0,0.0,8.0
Albania,ALB,2017,7889.025,28750.0,1022757857.07377,1311822432.138,9801181001.7,168350006.103516,11.1428754430796,2145.15129337241,824.373550389848,104.870693430657,4.05576208178439,13.5,63.6106665234143,25.7331287923882,18.8874860606848,125.9205273,1.10915100558884,31.5697983098872,25.0525380257711,46.6244512220264,19.0221266422351,20.3584083577153,1.45073158124514,13019726211.7369,3.80259872019053,12329821974.2681,36786624704.6522,4290.0,12800.0,1.00432002544403,106.449691772461,105.414970397949,97.5743713378906,0.1,9.3,96.0,,1.5,7.6,1.4,23.4,-14901.0,16.778,,78.9,1.486,-0.0919722937442495,2873457.0,1.54128496391169,58.0887791110552,104.0747474235,0.0884579218158484,2.0,0.0,0.0,3.0
